Date,Price,Open,High,Low,Volume,Chg%
Dec 2020,13749.25,13062.20,13776.60,12962.80,471.37K,6.02%
Nov 2020,12968.95,11697.35,13145.85,11557.40,13.11M,11.39%
Oct 2020,11642.40,11364.45,12025.45,11347.05,11.60M,3.51%
Sep 2020,11247.55,11464.30,11618.10,10790.20,13.45M,-1.23%
Aug 2020,11387.50,11057.55,11794.25,10882.25,14.04M,2.84%
Jul 2020,11073.45,10323.80,11341.40,10299.60,14.64M,7.49%
Jun 2020,10302.10,9726.85,10553.15,9544.35,16.78M,7.53%
May 2020,9580.30,9533.50,9598.85,8806.75,13.68M,-2.84%
Apr 2020,9859.90,8584.10,9889.05,8055.80,12.74M,14.68%
Mar 2020,8597.75,11387.35,11433.00,7511.10,21.30M,-23.25%
Feb 2020,11201.75,11939.00,12246.70,11175.05,11.19M,-6.36%
Jan 2020,11962.10,12202.15,12430.50,11929.60,11.93M,-1.70%
Dec 2019,12168.45,12137.05,12293.90,11832.30,12.55M,0.93%
Nov 2019,12056.05,11886.60,12158.80,11802.65,13.18M,1.50%
Oct 2019,11877.45,11515.40,11945.00,11090.15,15.62M,3.51%
Sep 2019,11474.45,10960.95,11694.85,10670.25,12.21M,4.09%
Aug 2019,11023.25,11060.20,11181.45,10637.15,11.15M,-0.85%
Jul 2019,11118.00,11839.90,11981.75,10999.40,9.99M,-5.69%
Jun 2019,11788.85,11953.75,12103.05,11625.10,6.79M,-1.12%
May 2019,11922.80,11725.55,12041.15,11108.30,8.65M,1.49%
Apr 2019,11748.15,11665.20,11856.15,11549.10,6.52M,1.07%
Mar 2019,11623.90,10842.65,11630.35,10817.00,6.86M,7.70%
Feb 2019,10792.50,10851.35,11118.10,10585.65,7.46M,-0.36%
Jan 2019,10830.95,10881.70,10987.45,10583.65,7.43M,-0.29%
Dec 2018,10862.55,10930.70,10985.15,10333.85,6.74M,-0.13%
Nov 2018,10876.75,10441.70,10922.45,10341.90,6.79M,4.72%
Oct 2018,10386.60,10930.90,11035.65,10004.55,8.14M,-4.98%
Sep 2018,10930.45,11751.80,11751.80,10850.30,6.03M,-6.42%
Aug 2018,11680.50,11359.80,11760.20,11234.95,5.41M,2.85%
Jul 2018,11356.50,10732.35,11366.00,10604.65,5.29M,5.99%
Jun 2018,10714.30,10738.45,10893.25,10550.90,4.83M,-0.20%
May 2018,10736.15,10783.85,10929.20,10417.80,5.50M,-0.03%
Apr 2018,10739.35,10151.65,10759.00,10111.30,4.95M,6.19%
Mar 2018,10113.70,10479.95,10525.50,9951.90,4.52M,-3.61%
Feb 2018,10492.85,11044.55,11117.35,10276.30,4.53M,-4.85%
Jan 2018,11027.70,10531.70,11171.55,10404.65,4.84M,4.72%
Dec 2017,10530.70,10263.70,10552.40,10033.35,3.61M,2.97%
Nov 2017,10226.55,10390.35,10490.45,10094.00,4.79M,-1.05%
Oct 2017,10335.30,9893.30,10384.50,9831.05,4.64M,5.59%
Sep 2017,9788.60,9937.65,10178.95,9687.55,4.29M,-1.30%
Aug 2017,9917.90,10101.05,10137.85,9685.55,4.30M,-1.58%
Jul 2017,10077.10,9587.95,10114.85,9543.55,3.85M,5.84%
Jun 2017,9520.90,9603.55,9709.30,9448.75,3.67M,-1.04%
May 2017,9621.25,9339.85,9649.60,9269.90,4.68M,3.41%
Apr 2017,9304.05,9220.60,9367.15,9075.15,3.15M,1.42%
Mar 2017,9173.75,8904.40,9218.40,8860.10,4.98M,3.31%
Feb 2017,8879.60,8570.35,8982.15,8537.50,4.53M,3.72%
Jan 2017,8561.30,8210.10,8672.70,8133.80,4.13M,4.59%
Dec 2016,8185.80,8244.00,8274.95,7893.80,3.22M,-0.47%
Nov 2016,8224.50,8653.15,8669.60,7916.40,4.73M,-4.65%
Oct 2016,8625.70,8666.15,8806.95,8506.15,3.42M,0.17%
Sep 2016,8611.15,8793.60,8968.70,8555.20,4.02M,-1.99%
Aug 2016,8786.20,8654.30,8819.20,8518.15,4.22M,1.71%
Jul 2016,8638.50,8313.05,8674.70,8287.55,3.42M,4.23%
Jun 2016,8287.75,8179.20,8308.15,7927.05,4.32M,1.56%
May 2016,8160.10,7822.70,8213.60,7678.35,4.50M,3.95%
Apr 2016,7849.80,7718.05,7992.00,7516.85,3.65M,1.44%
Mar 2016,7738.40,7038.25,7777.60,7035.10,4.96M,10.75%
Feb 2016,6987.05,7589.50,7600.45,6825.80,5.33M,-7.62%
Jan 2016,7563.55,7938.45,7972.55,7241.50,3.96M,-4.82%
Dec 2015,7946.35,7958.15,7979.30,7551.05,3.12M,0.14%
Nov 2015,7935.25,8054.55,8116.10,7714.15,3.16M,-1.62%
Oct 2015,8065.80,7992.05,8336.30,7930.65,3.47M,1.47%
Sep 2015,7948.90,7907.95,8055.00,7539.50,3.54M,-0.28%
Aug 2015,7971.30,8510.65,8621.55,7667.25,4.06M,-6.58%
Jul 2015,8532.85,8376.25,8654.75,8315.40,3.19M,1.96%
Jun 2015,8368.50,8417.25,8467.15,7940.30,3.25M,-0.77%
May 2015,8433.65,8230.05,8489.55,7997.15,3.49M,3.08%
Apr 2015,8181.50,8483.70,8844.80,8144.75,3.37M,-3.65%
Mar 2015,8491.00,8953.85,9119.20,8269.15,3.84M,-4.62%
Feb 2015,8901.85,8802.50,8941.10,8470.50,3.78M,1.06%
Jan 2015,8808.90,8272.80,8996.60,8065.45,3.49M,6.35%
Dec 2014,8282.70,8605.10,8626.95,7961.35,3.15M,-3.56%
Nov 2014,8588.25,8348.15,8617.00,8290.25,2.70M,3.20%
Oct 2014,8322.20,7960.50,8330.75,7723.85,2.70M,4.49%
Sep 2014,7964.80,7990.35,8180.20,7841.80,2.93M,0.13%
Aug 2014,7954.35,7662.50,7968.25,7540.10,2.48M,3.02%
Jul 2014,7721.30,7629.00,7840.95,7422.15,3.32M,1.44%
Jun 2014,7611.35,7264.05,7700.05,7239.50,3.62M,5.28%
May 2014,7229.95,6709.95,7563.50,6638.55,4.28M,7.97%
Apr 2014,6696.40,6729.50,6869.85,6650.40,2.67M,-0.12%
Mar 2014,6704.20,6264.35,6730.05,6212.25,3.86M,6.81%
Feb 2014,6276.95,6058.80,6282.70,5933.30,2.80M,3.08%
Jan 2014,6089.50,6323.80,6358.30,6027.25,3.35M,-3.40%
Dec 2013,6304.00,6171.15,6415.25,6129.95,3.62M,2.07%
Nov 2013,6176.10,6289.75,6342.95,5972.45,3.02M,-1.95%
Oct 2013,6299.15,5756.10,6309.05,5700.95,3.84M,9.83%
Sep 2013,5735.30,5480.25,6142.50,5318.90,4.49M,4.82%
Aug 2013,5471.80,5776.90,5808.50,5118.85,5.01M,-4.71%
Jul 2013,5742.00,5834.10,6093.35,5675.75,3.52M,-1.72%
Jun 2013,5842.20,5997.35,6011.00,5566.25,2.98M,-2.40%
May 2013,5985.95,5911.40,6229.45,5910.95,3.08M,0.94%
Apr 2013,5930.20,5697.35,5962.30,5477.20,2.73M,4.36%
Mar 2013,5682.55,5702.45,5971.20,5604.85,2.88M,-0.18%
Feb 2013,5693.05,6040.95,6052.95,5671.90,3.08M,-5.66%
Jan 2013,6034.75,5937.65,6111.80,5935.20,3.08M,2.20%
Dec 2012,5905.10,5878.25,5965.15,5823.15,2.41M,0.43%
Nov 2012,5879.85,5609.85,5885.25,5548.35,2.30M,4.63%
Oct 2012,5619.70,5704.75,5815.35,4888.20,2.77M,-1.47%
Sep 2012,5703.30,5276.50,5735.15,5215.70,3.36M,8.46%
Aug 2012,5258.50,5220.70,5448.60,5164.65,2.75M,0.56%
Jul 2012,5229.00,5283.85,5348.55,5032.40,2.67M,-0.95%
Jun 2012,5278.90,4910.85,5286.25,4770.35,3.04M,7.20%
May 2012,4924.25,5254.30,5279.60,4788.95,3.23M,-6.17%
Apr 2012,5248.15,5296.35,5378.75,5154.30,2.74M,-0.90%
Mar 2012,5295.55,5366.00,5499.40,5135.95,4.16M,-1.66%
Feb 2012,5385.20,5198.15,5629.95,5159.00,5.04M,3.58%
Jan 2012,5199.25,4640.20,5217.00,4588.05,4.15M,12.43%
Dec 2011,4624.30,4970.85,5099.25,4531.15,3.43M,-4.30%
Nov 2011,4832.05,5278.60,5326.45,4639.10,3.30M,-9.28%
Oct 2011,5326.60,4874.40,5399.70,4728.30,2.96M,7.76%
Sep 2011,4943.25,5109.80,5169.25,4758.85,3.49M,-1.15%
Aug 2011,5001.00,5527.50,5551.90,4720.00,3.10M,-8.77%
Jul 2011,5482.00,5705.75,5740.40,5453.95,2.32M,-2.93%
Jun 2011,5647.40,5561.05,5657.90,5195.90,2.36M,1.57%
May 2011,5560.15,5766.90,5775.25,5328.70,2.39M,-3.29%
Apr 2011,5749.50,5835.00,5944.45,5693.25,2.16M,-1.44%
Mar 2011,5833.75,5382.00,5872.00,5348.20,3.22M,9.38%
Feb 2011,5333.25,5537.30,5599.25,5177.70,3.73M,-3.14%
Jan 2011,5505.90,6177.45,6181.05,5416.65,3.07M,-10.25%
Dec 2010,6134.50,5871.00,6147.30,5721.15,2.99M,4.64%
Nov 2010,5862.70,6092.30,6338.50,5690.35,3.30M,-2.58%
Oct 2010,6017.70,6030.30,6284.10,5937.10,2.91M,-0.20%
